ZCTA,MODZCTA,ZCTA_str,zip_code,Value,Count,modzcta_count,mod_idx,tract,zip,usps_zip_pref_city,usps_zip_pref_state,res_ratio,bus_ratio,oth_ratio,tot_ratio,borough
10022.0,10022.0,10022,10022.0,,,1.0,92.0,36061009800,10022,NEW YORK,NY,0.872984855886663,0.956072351421188,0.93574297188755,0.88587616349656,MN
10022.0,10022.0,10022,10022.0,,,1.0,92.0,36061010000,10022,NEW YORK,NY,0.99533527696793,0.907307171853856,0.874345549738219,0.950059101654846,MN
10022.0,10022.0,10022,10022.0,,,1.0,92.0,36061010200,10022,NEW YORK,NY,1.0,0.986124401913875,0.984536082474226,0.986633249791144,MN
10022.0,10022.0,10022,10022.0,,,1.0,92.0,36061010601,10022,NEW YORK,NY,1.0,1.0,1.0,1.0,MN
10022.0,10022.0,10022,10022.0,,,1.0,92.0,36061010800,10022,NEW YORK,NY,0.700935462534253,0.566691230655858,0.992287917737789,0.695352421120934,MN
10022.0,10022.0,10022,10022.0,,,1.0,92.0,36061011202,10022,NEW YORK,NY,1.0,0.832098765432098,0.756756756756756,0.9,MN
10022.0,10022.0,10022,10022.0,,,1.0,92.0,36061011203,10022,NEW YORK,NY,1.0,0.86080586080586,0.875968992248062,0.942882249560632,MN
10023.0,10023.0,10023,10023.0,10023 Upper West Side (Manhattan),3.0,3.0,74.0,36061014500,10023,NEW YORK,NY,0.933240288439171,0.736842105263157,0.75,0.915171977210381,MN
10023.0,10023.0,10023,10023.0,10023 Upper West Side (Manhattan),3.0,3.0,74.0,36061014700,10023,NEW YORK,NY,0.601427721594289,0.631578947368421,0.636363636363636,0.602527283170591,MN
10023.0,10023.0,10023,10023.0,10023 Upper West Side (Manhattan),3.0,3.0,74.0,36061014900,10023,NEW YORK,NY,1.0,1.0,1.0,1.0,MN
10023.0,10023.0,10023,10023.0,10023 Upper West Side (Manhattan),3.0,3.0,74.0,36061015100,10023,NEW YORK,NY,0.679812739395658,0.747252747252747,0.775,0.682231404958677,MN
10023.0,10023.0,10023,10023.0,10023 Upper West Side (Manhattan),3.0,3.0,74.0,36061015300,10023,NEW YORK,NY,1.0,1.0,1.0,1.0,MN
10023.0,10023.0,10023,10023.0,10023 Upper West Side (Manhattan),3.0,3.0,74.0,36061015500,10023,NEW YORK,NY,0.748242530755711,0.791304347826086,0.793103448275862,0.749321525496357,MN
10023.0,10023.0,10023,10023.0,10023 Upper West Side (Manhattan),3.0,3.0,74.0,36061015700,10023,NEW YORK,NY,1.0,1.0,1.0,1.0,MN
10023.0,10023.0,10023,10023.0,10023 Upper West Side (Manhattan),3.0,3.0,74.0,36061015900,10023,NEW YORK,NY,0.907315607631065,0.977375565610859,0.984126984126984,0.913450937155457,MN
10023.0,10023.0,10023,10023.0,10023 Upper West Side (Manhattan),3.0,3.0,74.0,36061016100,10023,NEW YORK,NY,0.8,0.713333333333333,0.835,0.8015625,MN
10023.0,10023.0,10023,10023.0,10023 Upper West Side (Manhattan),3.0,3.0,74.0,36061016300,10023,NEW YORK,NY,0.586753731343283,0.496644295302013,0.545454545454545,0.580833333333333,MN
10024.0,10024.0,10024,10024.0,10024 Upper West Side (Manhattan),4.0,4.0,75.0,36061016500,10024,NEW YORK,NY,1.0,1.0,1.0,1.0,MN
10024.0,10024.0,10024,10024.0,10024 Upper West Side (Manhattan),4.0,4.0,75.0,36061016700,10024,NEW YORK,NY,1.0,1.0,1.0,1.0,MN
10024.0,10024.0,10024,10024.0,10024 Upper West Side (Manhattan),4.0,4.0,75.0,36061016900,10024,NEW YORK,NY,1.0,1.0,1.0,1.0,MN
10024.0,10024.0,10024,10024.0,10024 Upper West Side (Manhattan),4.0,4.0,75.0,36061017100,10024,NEW YORK,NY,1.0,1.0,1.0,1.0,MN
10024.0,10024.0,10024,10024.0,10024 Upper West Side (Manhattan),4.0,4.0,75.0,36061017300,10024,NEW YORK,NY,1.0,1.0,1.0,1.0,MN
